id,text,url,death_date,name,age,nationality,claim,cause
9035,"Gaston Berghmans, 90, Belgian comedian and actor (The Silent Hedonist).[366]",https://en.wikipedia.org/wiki/Gaston_Berghmans,2016-05-21 00:00:00,Gaston Berghmans,90,Belgian,comedian and actor,
9036,"Günter Braake, 95, German soldier.[367]",https://en.wikipedia.org/wiki/G%C3%BCnter_Braake,2016-05-21 00:00:00,Günter Braake,95,German,soldier,
9037,"Lorne Clarke, 87, Canadian lawyer, Chief Justice of the Nova Scotia Supreme Court (1985–1998).[368]",https://en.wikipedia.org/wiki/Lorne_Clarke,2016-05-21 00:00:00,Lorne Clarke,87,Canadian,lawyer,
9038,"Andrea Maria Erba, 86, Italian Roman Catholic prelate, Bishop of Velletri-Segni (1988–2006).[369]",https://en.wikipedia.org/wiki/Andrea_Maria_Erba,2016-05-21 00:00:00,Andrea Maria Erba,86,Italian,Roman Catholic prelate,
9039,"Jane Fawcett, 95, British codebreaker at Bletchley Park during World War II, key figure in the sinking of the Bismarck.[370]",https://en.wikipedia.org/wiki/Jane_Fawcett,2016-05-21 00:00:00,Jane Fawcett,95,British,codebreaker at Bletchley Park during World War II,
9040,"Sir Denys Henderson, 83, British businessman, chairman of ICI (1987–1995).[371]",https://en.wikipedia.org/wiki/Denys_Henderson,2016-05-21 00:00:00,Sir Denys Henderson,83,British,businessman,
9041,"Eddie Keizan, 71, South African racing driver.[373]",https://en.wikipedia.org/wiki/Eddie_Keizan,2016-05-21 00:00:00,Eddie Keizan,71,South African,racing driver,
9042,"Tony Kriletich, 72, New Zealand rugby league player (Auckland, national team).[374]",https://en.wikipedia.org/wiki/Tony_Kriletich,2016-05-21 00:00:00,Tony Kriletich,72,New Zealand,rugby league player,
9043,"Alan Lewis, 61, English footballer (Reading, Derby County, Peterborough United).[375]",https://en.wikipedia.org/wiki/Alan_Lewis_(footballer),2016-05-21 00:00:00,Alan Lewis,61,English,footballer,
9044,"Akhtar Mansour, c. 48, Afghan Islamist, Minister of the Emirate for Aviation and Tourism (1996–2001), leader of the Taliban (since 2015), airstrike.[376]",https://en.wikipedia.org/wiki/Akhtar_Mansour,2016-05-21 00:00:00,Akhtar Mansour,48,Afghan,Islamist,airstrike
9045,"Nick Menza, 51, German-born American drummer (Megadeth), heart failure.[377]",https://en.wikipedia.org/wiki/Nick_Menza,2016-05-21 00:00:00,Nick Menza,51,German-born American,drummer,heart failure
9046,"Germán Serrano Pinto, 76, Costa Rican politician, Vice President (1990–1994).[378]",https://en.wikipedia.org/wiki/Germ%C3%A1n_Serrano_Pinto,2016-05-21 00:00:00,Germán Serrano Pinto,76,Costa Rican,politician,
9047,"Arthur Provis, 91, English cinematographer and producer.[379] (death announced on this date)",https://en.wikipedia.org/wiki/Arthur_Provis,2016-05-21 00:00:00,Arthur Provis,91,English,cinematographer and producer,
9048,"Norman Tait, 75, Canadian First Nations artist, cancer.[380]",https://en.wikipedia.org/wiki/Norman_Tait,2016-05-21 00:00:00,Norman Tait,75,Canadian,First Nations artist,cancer
9049,"Sándor Tarics, 102, Hungarian water polo player, Olympic gold medalist (1936).[381]",https://en.wikipedia.org/wiki/S%C3%A1ndor_Tarics,2016-05-21 00:00:00,Sándor Tarics,102,Hungarian,water polo player,
